per,cluster,perform_std,perform_quart,f1_std,f2_std,f3_std
1,1,-1.470255852,1,-1.541635275,-0.285176754,0.352211237
2,1,-1.975645542,1,-0.780733883,-2.738935232,0.095879018
3,1,-0.627940238,1,-1.350911379,-0.994730234,1.587453604
4,1,-0.868601561,1,-0.924004912,-1.10994792,-1.018364191
5,1,-0.266948164,2,-0.474639297,-1.403122067,-0.464283884
6,1,-1.553561211,1,-0.733157396,-0.237593874,-1.093285084
7,1,-2.300538301,1,-1.938483953,-1.610698342,-0.125137269
8,1,-0.541989982,1,-1.547745466,-0.633818448,-0.114080772
9,1,-0.617001057,1,-1.536138058,-0.117865093,-0.865755498
10,1,-0.619344652,1,-0.859196424,-0.919132471,0.228459597
11,1,-0.507609546,2,-1.115581751,-1.035332322,0.38732329
12,1,0.334706098,3,-1.982970476,-0.148502827,-0.884853899
13,1,-0.284137517,2,-1.081394076,0.136501044,-1.176826358
14,1,-0.522650659,2,-0.556281686,-1.954217076,1.289737105
15,1,-0.266947299,2,-1.73696208,-1.533242822,0.786390185
16,1,-0.026285939,2,-0.65768826,-2.017121792,2.252596855
17,1,0.386276782,3,-0.947206199,-0.557819903,1.048867822
18,1,0.623500586,3,-1.091119766,-0.935253501,1.753749967
19,1,0.109085865,3,-1.4756459,-1.1407516,0.291243434
20,1,-2.593342781,1,-0.801397145,-1.897115588,-1.273859024
21,1,-1.253659725,1,-0.689198911,-1.890376806,0.816818833
22,1,-0.593559742,1,-0.946281135,-0.723537028,0.017763942
23,1,-1.073163748,1,-1.556657195,-0.628700674,-0.381070197
24,1,-1.695876122,1,-1.34143877,-0.461899579,-1.076376557
25,1,-1.000966191,1,-0.214381829,-1.566563606,0.634189844
26,1,-0.256009012,2,-1.808347702,-0.982017517,-0.157007873
27,1,-1.064139605,1,-1.097510815,-1.378850222,0.771739244
28,1,-1.951579452,1,-1.761219025,-1.646731973,0.472613961
29,1,-1.470255852,1,-1.899576426,-0.749692857,0.04531575
30,1,-0.781088352,1,-0.895801306,-0.405875117,1.083902717
31,1,-0.357195735,2,-1.042473912,-0.507100463,1.602758288
32,1,-1.77108252,1,-1.185859442,-0.852201521,0.745686114
33,1,-0.828491628,1,-0.561621606,-1.252777457,-0.118656188
34,1,-1.470255852,1,-1.262655854,-0.970535815,0.480873883
35,1,-0.846723258,1,-1.114373446,-0.412744939,0.583458185
36,1,-2.312571526,1,-1.038885236,-2.334872961,0.369927466
37,1,-0.627940238,1,-0.6423136,-1.929277778,0.637834549
38,1,-2.257875681,1,-1.58226192,-0.82005161,0.586992025
39,1,-2.346951962,1,-0.577486932,-1.415333748,-1.085160255
40,1,-0.537691772,2,-1.108063102,-0.512375832,-0.529199958
41,1,0.740822375,4,-1.593366742,-1.012611389,0.982697189
42,1,-1.109262943,1,0.170952454,-1.537797689,1.3316257
43,1,-0.347168058,2,0.048763536,-1.97109282,1.023459196
